continent,country,keyword,base_date,f_0-12,f_13-19,f_20-24,f_25-29,f_30-39,f_40-49,f_50-,m_0-12,m_13-19,m_20-24,m_25-29,m_30-39,m_40-49,m_50-,volume
동아시아,대만,대만여행,2024-11-01,0.0,0.014318010550113038,0.08013062044712384,0.11504647073599598,0.15825169555388094,0.2043456417985431,0.15184626978146196,0.0,0.003014318010550113,0.014820396885204722,0.03843255463451394,0.0675709620698317,0.07472996734488822,0.07749309218789249,7971.0
아시아,일본,일본여행,2024-11-01,0.0009912206173888418,0.052251486830926085,0.04941942792410082,0.06711979609175871,0.13650523930897762,0.21438685924667233,0.14174454828660435,0.0,0.02322288303596715,0.024072500708014727,0.03979042764089493,0.06896063438119512,0.09643160577740018,0.08510337015009913,7174.0
아시아,홍콩,홍콩여행,2024-11-01,0.0,0.02874251497005988,0.10802395209580838,0.1302994011976048,0.15592814371257485,0.17029940119760478,0.16407185628742516,0.0,0.004550898203592815,0.02059880239520958,0.025868263473053894,0.05796407185628742,0.06275449101796407,0.07089820359281437,4232.0
동아시아,베트남,베트남여행,2024-11-01,0.0008588605782994561,0.017463498425422275,0.03349556255367878,0.05353564271399943,0.10220440881763528,0.1898081878041798,0.1915259089607787,0.0,0.005725737188663041,0.014600629831090752,0.027769825365015745,0.07472087031205267,0.13283710277698255,0.15545376467220154,3562.0
유럽,이탈리아,이탈리아여행,2024-11-01,0.0010452961672473868,0.02857142857142857,0.037282229965156795,0.059581881533101046,0.12055749128919861,0.21916376306620208,0.30313588850174217,0.0003484320557491289,0.008362369337979094,0.012543554006968641,0.0132404181184669,0.04425087108013937,0.06132404181184669,0.09059233449477352,2898.0
동아시아,싱가포르,싱가포르여행,2024-11-01,0.0007039774727208729,0.016191481872580078,0.04963041182682154,0.09116508271735305,0.13093980992608237,0.22668074621612108,0.23864836325237593,0.0,0.003871876099964801,0.015487504399859204,0.019711369236184443,0.056318197817669835,0.06617388243576205,0.08447729672650475,2890.0
유럽,스페인,스페인여행,2024-11-01,0.0,0.016701461377870562,0.03423799582463465,0.0709812108559499,0.16367432150313152,0.18329853862212944,0.29937369519832985,0.0,0.005010438413361169,0.014196242171189978,0.025887265135699375,0.05260960334029228,0.04133611691022965,0.09269311064718162,2454.0
동아시아,태국,태국여행,2024-11-01,0.0,0.022707034728406055,0.053428317008014245,0.07969723953695458,0.13268032056990206,0.1527159394479074,0.19946571682991987,0.0,0.002226179875333927,0.022707034728406055,0.041852181656277826,0.08014247551202137,0.09038290293855744,0.1219946571682992,2268.0
오세아니아,호주,호주여행,2024-11-01,0.0,0.032219570405727926,0.07756563245823389,0.10680190930787589,0.1658711217183771,0.18198090692124105,0.191527446300716,0.0,0.017303102625298328,0.0256563245823389,0.023269689737470168,0.06324582338902147,0.04832935560859188,0.0662291169451074,1699.0
아시아,마카오,마카오여행,2024-11-01,0.0,0.016184971098265895,0.07976878612716763,0.11271676300578035,0.16705202312138728,0.23179190751445086,0.14566473988439307,0.0,0.0023121387283236996,0.011560693641618497,0.02716763005780347,0.06358381502890173,0.07630057803468208,0.06589595375722543,1689.0
동아시아,라오스,라오스여행,2024-11-01,0.0,0.0,0.03155006858710562,0.061042524005486966,0.07681755829903979,0.09602194787379972,0.21742112482853224,0.0,0.0075445816186556925,0.01440329218106996,0.030864197530864196,0.08847736625514403,0.12551440329218108,0.2503429355281207,1460.0
아시아,중국,중국여행,2024-11-01,0.004878048780487805,0.03983739837398374,0.09349593495934959,0.08292682926829269,0.13333333333333333,0.12439024390243902,0.16178861788617885,0.0,0.02113821138211382,0.02195121951219512,0.04715447154471545,0.07967479674796749,0.06910569105691057,0.12032520325203253,1233.0
오세아니아,괌,괌여행,2024-11-01,0.0,0.0075440067057837385,0.06286672254819782,0.07963118189438391,0.21207041072925398,0.1953059513830679,0.07376362112321877,0.0,0.00586756077116513,0.01592623637887678,0.020117351215423303,0.12740989103101424,0.12740989103101424,0.07208717518860017,1222.0
동아시아,몽골,몽골여행,2024-11-01,0.0,0.03807106598984772,0.08544839255499154,0.11505922165820642,0.13028764805414553,0.11082910321489002,0.1463620981387479,0.0,0.005922165820642978,0.03637901861252115,0.047377326565143825,0.09729272419627749,0.08037225042301184,0.1065989847715736,1211.0
유럽,스위스,스위스여행,2024-11-01,0.008503401360544218,0.06462585034013606,0.06292517006802721,0.10374149659863946,0.141156462585034,0.14285714285714285,0.17687074829931973,0.0,0.0391156462585034,0.02891156462585034,0.02976190476190476,0.06972789115646258,0.04846938775510204,0.08333333333333333,1170.0
동아시아,필리핀,필리핀여행,2024-11-01,0.0,0.021653543307086614,0.058070866141732284,0.06299212598425197,0.11122047244094488,0.12303149606299213,0.17618110236220472,0.000984251968503937,0.006889763779527559,0.01673228346456693,0.028543307086614175,0.07775590551181102,0.1515748031496063,0.1643700787401575,999.0
오세아니아,뉴질랜드,뉴질랜드여행,2024-11-01,0.0,0.028402366863905324,0.05917159763313609,0.07810650887573964,0.15621301775147928,0.12307692307692308,0.22840236686390533,0.0,0.004733727810650888,0.011834319526627219,0.036686390532544376,0.06745562130177515,0.06272189349112427,0.14319526627218934,861.0
동아시아,말레이시아,말레이시아여행,2024-11-01,0.0,0.025851938895417155,0.043478260869565216,0.06110458284371328,0.1762632197414806,0.17391304347826086,0.1398354876615746,0.0,0.008225616921269096,0.0282021151586369,0.03172737955346651,0.09283196239717979,0.10810810810810811,0.11045828437132785,851.0
